packet_size,protocol,time_diff,label,packet_rate
190,6,0.0,0,
66,6,0.0016000270843505,0,
102,6,0.0120470523834228,0,
102,6,0.0001108646392822,0,
102,6,0.0183351039886474,0,
102,6,0.0001590251922607,0,
102,6,0.0203559398651123,0,
102,6,0.0001170635223388,0,
102,6,0.0199449062347412,0,
102,6,0.0001130104064941,0,
102,6,0.0212481021881103,0,
102,6,0.0001099109649658,0,
102,6,0.0215179920196533,0,
102,6,0.0001120567321777,0,
102,6,0.0201690196990966,0,
102,6,0.0001471042633056,0,
102,6,0.0204768180847167,0,
102,6,0.000148057937622,0,
102,6,0.0208539962768554,0,
102,6,0.0001459121704101,0,
102,6,0.0199451446533203,0,
102,6,0.0001430511474609,0,
102,6,0.0202548503875732,0,
102,6,0.0001499652862548,0,
102,6,0.0197792053222656,0,
102,6,0.0001718997955322,0,
102,6,0.0211310386657714,0,
102,6,0.0001509189605712,0,
102,6,0.0196349620819091,0,
102,6,0.0001471042633056,0,
102,6,0.0194840431213378,0,
102,6,0.0001428127288818,0,
102,6,0.0215702056884765,0,
102,6,0.0001428127288818,0,
102,6,0.0189411640167236,0,
102,6,0.0001628398895263,0,
102,6,0.0213861465454101,0,
102,6,0.0001478195190429,0,
102,6,0.02042818069458,0,
102,6,0.0001499652862548,0,
102,6,0.0204889774322509,0,
102,6,0.0001430511474609,0,
102,6,0.020421028137207,0,
102,6,0.0001428127288818,0,
102,6,0.020259141921997,0,
102,6,0.0001699924468994,0,
102,6,0.0195128917694091,0,
102,6,0.0001420974731445,0,
102,6,0.019784927368164,0,
102,6,0.0001430511474609,0,
102,6,0.0212841033935546,0,
102,6,0.0001828670501708,0,
102,6,0.0208101272583007,0,
102,6,0.0001490116119384,0,
102,6,0.0210368633270263,0,
102,6,0.0001471042633056,0,
103,17,0.0175709724426269,0,
102,6,0.0020458698272705,0,
102,6,0.0001859664916992,0,
102,6,0.0207340717315673,0,
102,6,0.0001530647277832,0,
102,6,0.02183198928833,0,
102,6,0.0001440048217773,0,
102,6,0.0186500549316406,0,
102,6,0.000140905380249,0,
102,6,0.0204029083251953,0,
102,6,0.0001699924468994,0,
102,6,0.020881175994873,0,
102,6,0.0001678466796875,0,
102,6,0.0206091403961181,0,
102,6,0.0001499652862548,0,
102,6,0.0197288990020751,0,
102,6,0.0001440048217773,0,
102,6,0.0197360515594482,0,
102,6,0.0001449584960937,0,
102,6,0.0209090709686279,0,
102,6,0.0001649856567382,0,
102,6,0.0211420059204101,0,
102,6,0.0001521110534667,0,
102,6,0.0197508335113525,0,
102,6,0.0001740455627441,0,
102,6,0.0200879573822021,0,
102,6,0.000148057937622,0,
102,6,0.0206489562988281,0,
102,6,0.0001440048217773,0,
102,6,0.0197041034698486,0,
102,6,0.0001468658447265,0,
102,6,0.0208451747894287,0,
102,6,0.0001449584960937,0,
102,6,0.0196349620819091,0,
102,6,0.0001420974731445,0,
102,6,0.0214858055114746,0,
102,6,0.0002830028533935,0,
102,6,0.0196871757507324,0,
102,6,0.0001478195190429,0,
102,6,0.0223081111907959,0,
102,6,0.0001499652862548,0,
102,6,0.0183649063110351,0,
102,6,0.0001451969146728,0,
102,6,0.0213270187377929,0,
102,6,0.0002388954162597,0,
102,6,0.0208439826965332,0,
102,6,0.0001559257507324,0,
102,6,0.0194330215454101,0,
102,6,0.0001440048217773,0,
102,6,0.0213899612426757,0,
102,6,0.0001981258392333,0,
102,6,0.0206449031829834,0,
102,6,0.000148057937622,0,
102,6,0.026803970336914,0,
102,6,0.0001449584960937,0,
102,6,0.022468090057373,0,
102,6,0.0001440048217773,0,
102,6,0.0264508724212646,0,
102,6,0.0001401901245117,0,
66,6,0.0011959075927734,0,
102,6,0.0070469379425048,0,
102,6,0.0001580715179443,0,
102,6,0.0177490711212158,0,
102,6,0.0001449584960937,0,
102,6,0.0291728973388671,0,
102,6,0.0001430511474609,0,
102,6,0.012740135192871,0,
102,6,0.0001428127288818,0,
102,6,0.0186500549316406,0,
102,6,0.0001459121704101,0,
102,6,0.0257821083068847,0,
102,6,0.0001449584960937,0,
102,6,0.0223040580749511,0,
102,6,0.0001440048217773,0,
102,6,0.016258955001831,0,
102,6,0.0001440048217773,0,
102,6,0.0210480690002441,0,
102,6,0.0001418590545654,0,
102,6,0.0191311836242675,0,
102,6,0.000140905380249,0,
102,6,0.0288829803466796,0,
102,6,0.0001590251922607,0,
102,6,0.0259840488433837,0,
102,6,0.000148057937622,0,
102,6,0.0136318206787109,0,
102,6,0.0001399517059326,0,
66,6,0.0223181247711181,0,
102,6,2.9087066650390625e-05,0,
102,6,0.0001449584960937,0,
102,6,0.0184919834136962,0,
102,6,0.0001440048217773,0,
102,6,0.014082908630371,0,
102,6,0.0001440048217773,0,
102,6,0.022684097290039,0,
102,6,0.000166893005371,0,
102,6,0.0162811279296875,0,
102,6,0.0001428127288818,0,
102,6,0.0198681354522705,0,
102,6,0.0001430511474609,0,
102,6,0.0212619304656982,0,
102,6,0.0001471042633056,0,
102,6,0.0199959278106689,0,
102,6,0.0001430511474609,0,
102,6,0.0196859836578369,0,
102,6,0.0001418590545654,0,
102,6,0.020881175994873,0,
102,6,0.0001628398895263,0,
102,6,0.0200910568237304,0,
102,6,0.0001440048217773,0,
102,6,0.0216820240020751,0,
102,6,0.0001540184020996,0,
102,6,0.0207910537719726,0,
102,6,0.0001440048217773,0,
102,6,0.020007848739624,0,
102,6,0.0001420974731445,0,
102,6,0.0209259986877441,0,
102,6,0.0001649856567382,0,
102,6,0.0196650028228759,0,
102,6,0.0001449584960937,0,
102,6,0.0196599960327148,0,
102,6,0.0001420974731445,0,
102,6,0.0199368000030517,0,
102,6,0.0001389980316162,0,
102,6,0.0211710929870605,0,
102,6,0.0001769065856933,0,
102,6,0.0203862190246582,0,
102,6,0.0001618862152099,0,
102,6,0.0206599235534667,0,
102,6,0.000148057937622,0,
102,6,0.021090030670166,0,
102,6,0.0001471042633056,0,
102,6,0.0205738544464111,0,
102,6,0.0001530647277832,0,
102,6,0.019615888595581,0,
102,6,0.0001430511474609,0,
102,6,0.0205929279327392,0,
102,6,0.0003230571746826,0,
102,6,0.0204639434814453,0,
102,6,0.0001540184020996,0,
102,6,0.0200841426849365,0,
102,6,0.0001440048217773,0,
102,6,0.0221359729766845,0,
102,6,0.0001850128173828,0,
102,6,0.0195858478546142,0,
102,6,0.0002110004425048,0,
102,6,0.0196681022644042,0,
102,6,0.0001869201660156,0,
102,6,0.0198590755462646,0,
102,6,0.0001459121704101,0,
102,6,0.0200390815734863,0,
102,6,0.0001420974731445,0,
102,6,0.020857810974121,0,
102,6,0.0001461505889892,0,
102,6,0.019036054611206,0,
102,6,0.0001778602600097,0,
102,6,0.0193750858306884,0,
102,6,0.0001449584960937,0,
66,6,0.0411610603332519,0,
103,17,1.4130699634552002,0,
60,2,0.2593259811401367,0,
60,2,0.0001580715179443,0,
137,17,0.110879898071289,0,
137,17,0.3333621025085449,0,
174,17,0.6686728000640869,0,
60,2,0.3164131641387939,0,
174,17,2.6895289421081543,0,
60,2,1.2870869636535645,0,
60,2,1.5217130184173584,0,
103,17,1.830354928970337,0,
60,2,1.264326095581055,0,
122,17,0.0004949569702148,0,
137,17,0.3349919319152832,0,
159,17,0.6677730083465576,0,
357,17,0.5520141124725342,0,
152,17,0.1148700714111328,0,
187,17,0.1727969646453857,0,
444,17,0.0003190040588378,0,
235,17,0.2153120040893554,0,
141,17,0.0339229106903076,0,
235,17,0.2113840579986572,0,
173,17,0.1317629814147949,0,
141,17,0.007577896118164,0,
60,2,0.1104300022125244,0,
235,17,0.0008721351623535,0,
173,17,0.0533380508422851,0,
189,17,0.0603609085083007,0,
280,17,0.1144731044769287,0,
60,2,0.038254976272583,0,
685,17,0.0433809757232666,0,
173,17,0.0939688682556152,0,
399,17,0.0002801418304443,0,
112,17,0.0002179145812988,0,
187,17,0.2865169048309326,0,
431,17,0.207590103149414,0,
372,17,0.3201649188995361,0,
128,17,0.2438440322875976,0,
60,2,0.1975491046905517,0,
212,17,0.1743998527526855,0,
187,17,0.2535781860351562,0,
167,17,0.2395839691162109,0,
685,17,0.1020278930664062,0,
278,17,0.327423095703125,0,
130,17,0.3749279975891113,0,
182,17,2.3662469387054443,0,
103,17,7.664720058441162,0,
103,17,0.9873499870300292,0,
98,17,0.2529029846191406,0,
60,2,0.1541950702667236,0,
60,2,0.4608819484710693,0,
103,17,2.1738789081573486,0,
60,2,1.740692138671875,0,
46,2,1.6611080169677734,0,
60,2,3.014827013015747,0,
103,17,2.581387996673584,0,
187,17,2.612634897232056,0,
444,17,0.0003449916839599,0,
60,2,0.1483669281005859,0,
141,17,0.0946621894836425,0,
173,17,0.2535848617553711,0,
141,17,0.100830078125,0,
173,17,0.1503369808197021,0,
280,17,0.1247780323028564,0,
173,17,0.124094009399414,0,
399,17,0.0004758834838867,0,
176,17,0.101525068283081,0,
187,17,0.1739730834960937,0,
357,17,0.664827823638916,0,
372,17,0.0277931690216064,0,
152,17,0.0616638660430908,0,
235,17,0.419342041015625,0,
60,2,0.0007350444793701,0,
60,2,0.0001449584960937,0,
212,17,0.2069089412689209,0,
235,17,0.0410151481628418,0,
60,2,0.2449288368225097,0,
357,17,0.0002501010894775,0,
235,17,0.0051550865173339,0,
158,17,0.0380969047546386,0,
130,17,0.0555438995361328,0,
568,17,0.0647611618041992,0,
431,17,0.1110739707946777,0,
278,17,0.4917390346527099,0,
431,17,0.1470057964324951,0,
182,17,1.0491790771484375,0,
103,17,9.597332000732422,0,
103,17,1.006890058517456,0,
103,17,3.004504919052124,0,
60,2,1.6986629962921145,0,
60,2,3.208192110061645,0,
60,2,2.432669878005981,0,
103,17,1.6860439777374268,0,
60,2,0.6459650993347168,0,
