packet_size,protocol,time_diff,packet_rate,label
1054,17,0.0,0.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.0,0.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.5,2.0,3
1054,17,0.0,0.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.0,0.0,4
1054,17,0.0,0.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
1054,17,0.5,2.0,4
